Entity,Code,Year,Average,Lower bound,Upper bound
World,OWID_WRL,1978,0.36946464,0.32980055,0.40912873
World,OWID_WRL,1979,0.45206377,0.4232105,0.48091704
World,OWID_WRL,1980,0.55548227,0.5229139,0.5880506
World,OWID_WRL,1981,0.61092645,0.57968634,0.64216655
World,OWID_WRL,1982,0.39492694,0.3544306,0.4354233
World,OWID_WRL,1983,0.5848059,0.5492813,0.6203305
World,OWID_WRL,1984,0.4099977,0.376012,0.44398338
World,OWID_WRL,1985,0.40994808,0.37687367,0.44302246
World,OWID_WRL,1986,0.45628086,0.4239302,0.48863152
World,OWID_WRL,1987,0.6021615,0.57142776,0.6328953
World,OWID_WRL,1988,0.64157176,0.60660774,0.6765357
World,OWID_WRL,1989,0.5388561,0.5034881,0.574224
World,OWID_WRL,1990,0.7190031,0.68379974,0.7542065
World,OWID_WRL,1991,0.69776946,0.6621659,0.7333731
World,OWID_WRL,1992,0.48398593,0.45042333,0.51754856
World,OWID_WRL,1993,0.52505124,0.48671445,0.563388
World,OWID_WRL,1994,0.59140015,0.5550177,0.6277825
World,OWID_WRL,1995,0.7350925,0.70191336,0.76827174
World,OWID_WRL,1996,0.63479936,0.6025453,0.6670534
World,OWID_WRL,1997,0.7790312,0.74655515,0.8115073
World,OWID_WRL,1998,0.93592083,0.9028746,0.968967
World,OWID_WRL,1999,0.68199766,0.64938253,0.7146128
World,OWID_WRL,2000,0.6894687,0.6567287,0.7222087
World,OWID_WRL,2001,0.8474103,0.8136172,0.88120335
World,OWID_WRL,2002,0.90111876,0.87089485,0.93134266
World,OWID_WRL,2003,0.9022393,0.8687722,0.9357065
World,OWID_WRL,2004,0.826385,0.79601645,0.8567535
World,OWID_WRL,2005,0.9662671,0.9350287,0.99750555
World,OWID_WRL,2006,0.93028426,0.898975,0.9615935
World,OWID_WRL,2007,0.949474,0.9175324,0.9814156
World,OWID_WRL,2008,0.82314956,0.7906812,0.85561794
World,OWID_WRL,2009,0.9539675,0.9231017,0.9848333
World,OWID_WRL,2010,1.0376073,1.0069752,1.0682396
World,OWID_WRL,2011,0.8965769,0.8656566,0.9274972
World,OWID_WRL,2012,0.93547153,0.9037727,0.9671704
World,OWID_WRL,2013,0.98260313,0.94711965,1.0180867
World,OWID_WRL,2014,1.031819,0.9993273,1.0643106
World,OWID_WRL,2015,1.1819104,1.148253,1.2155677
World,OWID_WRL,2016,1.2887791,1.2575042,1.3200539
World,OWID_WRL,2017,1.2004167,1.1683854,1.2324479
World,OWID_WRL,2018,1.1171584,1.0857053,1.1486115
World,OWID_WRL,2019,1.2513031,1.2179996,1.2846066
World,OWID_WRL,2020,1.2802037,1.2460152,1.3143922
World,OWID_WRL,2021,1.1312726,1.0963446,1.1662005
World,OWID_WRL,2022,1.1658032,1.1287576,1.2028489
World,OWID_WRL,2023,1.4737644,1.4368042,1.5107247
World,OWID_WRL,2024,1.5329651,1.4937952,1.572135
World,OWID_WRL,2025,1.4119903,1.3725953,1.4513854
World,OWID_WRL,2026,1.4060807,1.3229504,1.4892111
